p_mut	p_inf	n_inf_n_mean
3.9810717055349735e-5	0.009	1333.3333333333333
3.9810717055349735e-5	0.0095	1166.6666666666667
3.9810717055349735e-5	0.01	3000.0
6.30957344480193e-5	0.0	0.0
6.30957344480193e-5	0.0005	0.0
6.30957344480193e-5	0.001	0.0
6.30957344480193e-5	0.0015	0.0
6.30957344480193e-5	0.002	0.0
6.30957344480193e-5	0.0025	0.0
6.30957344480193e-5	0.003	0.0
6.30957344480193e-5	0.0035	0.0
6.30957344480193e-5	0.004	166.66666666666666
6.30957344480193e-5	0.0045	166.66666666666666
6.30957344480193e-5	0.005	0.0
6.30957344480193e-5	0.0055	0.0
6.30957344480193e-5	0.006	0.0
6.30957344480193e-5	0.0065	0.0
6.30957344480193e-5	0.007	0.0
6.30957344480193e-5	0.0075	0.0
6.30957344480193e-5	0.008	333.3333333333333
6.30957344480193e-5	0.0085	333.3333333333333
6.30957344480193e-5	0.009	666.6666666666666
6.30957344480193e-5	0.0095	833.3333333333334
6.30957344480193e-5	0.01	1000.0
0.0001	0.0	0.0
0.0001	0.0005	0.0
0.0001	0.001	0.0
0.0001	0.0015	0.0
0.0001	0.002	0.0
0.0001	0.0025	0.0
0.0001	0.003	0.0
0.0001	0.0035	0.0
0.0001	0.004	0.0
0.0001	0.0045	0.0
0.0001	0.005	0.0
0.0001	0.0055	0.0
0.0001	0.006	0.0
0.0001	0.0065	0.0
0.0001	0.007	0.0
0.0001	0.0075	0.0
0.0001	0.008	166.66666666666666
0.0001	0.0085	0.0
0.0001	0.009	333.3333333333333
0.0001	0.0095	166.66666666666666
0.0001	0.01	666.6666666666666
0.00015848931924611142	0.0	0.0
0.00015848931924611142	0.0005	0.0
0.00015848931924611142	0.001	0.0
0.00015848931924611142	0.0015	0.0
0.00015848931924611142	0.002	0.0
0.00015848931924611142	0.0025	0.0
0.00015848931924611142	0.003	0.0
0.00015848931924611142	0.0035	0.0
0.00015848931924611142	0.004	0.0
0.00015848931924611142	0.0045	0.0
0.00015848931924611142	0.005	0.0
0.00015848931924611142	0.0055	0.0
0.00015848931924611142	0.006	0.0
0.00015848931924611142	0.0065	0.0
0.00015848931924611142	0.007	0.0
0.00015848931924611142	0.0075	0.0
0.00015848931924611142	0.008	0.0
0.00015848931924611142	0.0085	0.0
0.00015848931924611142	0.009	0.0
0.00015848931924611142	0.0095	0.0
0.00015848931924611142	0.01	0.0
0.0002511886431509582	0.0	0.0
0.0002511886431509582	0.0005	0.0
0.0002511886431509582	0.001	0.0
0.0002511886431509582	0.0015	0.0
0.0002511886431509582	0.002	0.0
0.0002511886431509582	0.0025	0.0
0.0002511886431509582	0.003	0.0
0.0002511886431509582	0.0035	0.0
0.0002511886431509582	0.004	0.0
0.0002511886431509582	0.0045	0.0
0.0002511886431509582	0.005	0.0
0.0002511886431509582	0.0055	0.0
0.0002511886431509582	0.006	0.0
0.0002511886431509582	0.0065	0.0
0.0002511886431509582	0.007	0.0
0.0002511886431509582	0.0075	0.0
0.0002511886431509582	0.008	0.0
0.0002511886431509582	0.0085	0.0
0.0002511886431509582	0.009	0.0
0.0002511886431509582	0.0095	0.0
0.0002511886431509582	0.01	0.0
0.0003981071705534969	0.0	0.0
0.0003981071705534969	0.0005	0.0
0.0003981071705534969	0.001	0.0
0.0003981071705534969	0.0015	0.0
0.0003981071705534969	0.002	0.0
0.0003981071705534969	0.0025	0.0
0.0003981071705534969	0.003	0.0
0.0003981071705534969	0.0035	0.0
0.0003981071705534969	0.004	0.0
0.0003981071705534969	0.0045	0.0
0.0003981071705534969	0.005	0.0
0.0003981071705534969	0.0055	0.0
0.0003981071705534969	0.006	0.0
0.0003981071705534969	0.0065	0.0
0.0003981071705534969	0.007	0.0
0.0003981071705534969	0.0075	0.0
0.0003981071705534969	0.008	0.0
0.0003981071705534969	0.0085	0.0
0.0003981071705534969	0.009	0.0
0.0003981071705534969	0.0095	0.0
0.0003981071705534969	0.01	0.0
0.000630957344480193	0.0	0.0
0.000630957344480193	0.0005	0.0
0.000630957344480193	0.001	0.0
0.000630957344480193	0.0015	0.0
0.000630957344480193	0.002	0.0
0.000630957344480193	0.0025	0.0
0.000630957344480193	0.003	0.0
0.000630957344480193	0.0035	0.0
0.000630957344480193	0.004	0.0
0.000630957344480193	0.0045	0.0
0.000630957344480193	0.005	0.0
0.000630957344480193	0.0055	0.0
0.000630957344480193	0.006	0.0
0.000630957344480193	0.0065	0.0
0.000630957344480193	0.007	0.0
0.000630957344480193	0.0075	0.0
0.000630957344480193	0.008	0.0
0.000630957344480193	0.0085	0.0
0.000630957344480193	0.009	0.0
0.000630957344480193	0.0095	0.0
0.000630957344480193	0.01	0.0
0.001	0.0	0.0
0.001	0.0005	0.0
0.001	0.001	0.0
0.001	0.0015	0.0
0.001	0.002	0.0
0.001	0.0025	0.0
0.001	0.003	0.0
0.001	0.0035	0.0
0.001	0.004	0.0
0.001	0.0045	0.0
0.001	0.005	0.0
0.001	0.0055	0.0
0.001	0.006	0.0
0.001	0.0065	0.0
0.001	0.007	0.0
0.001	0.0075	0.0
0.001	0.008	0.0
0.001	0.0085	0.0
0.001	0.009	0.0
0.001	0.0095	0.0
0.001	0.01	0.0
0.001584893192461114	0.0	0.0
0.001584893192461114	0.0005	0.0
0.001584893192461114	0.001	0.0
0.001584893192461114	0.0015	0.0
0.001584893192461114	0.002	0.0
0.001584893192461114	0.0025	0.0
0.001584893192461114	0.003	0.0
0.001584893192461114	0.0035	0.0
0.001584893192461114	0.004	0.0
0.001584893192461114	0.0045	0.0
0.001584893192461114	0.005	0.0
0.001584893192461114	0.0055	0.0
0.001584893192461114	0.006	0.0
0.001584893192461114	0.0065	0.0
0.001584893192461114	0.007	0.0
0.001584893192461114	0.0075	0.0
0.001584893192461114	0.008	0.0
0.001584893192461114	0.0085	0.0
0.001584893192461114	0.009	0.0
0.001584893192461114	0.0095	0.0
0.001584893192461114	0.01	0.0
0.002511886431509582	0.0	0.0
0.002511886431509582	0.0005	0.0
0.002511886431509582	0.001	0.0
0.002511886431509582	0.0015	0.0
0.002511886431509582	0.002	0.0
0.002511886431509582	0.0025	0.0
0.002511886431509582	0.003	0.0
0.002511886431509582	0.0035	0.0
0.002511886431509582	0.004	0.0
0.002511886431509582	0.0045	0.0
0.002511886431509582	0.005	0.0
0.002511886431509582	0.0055	0.0
0.002511886431509582	0.006	0.0
0.002511886431509582	0.0065	0.0
0.002511886431509582	0.007	0.0
0.002511886431509582	0.0075	0.0
0.002511886431509582	0.008	0.0
0.002511886431509582	0.0085	0.0
0.002511886431509582	0.009	0.0
0.002511886431509582	0.0095	0.0
0.002511886431509582	0.01	0.0
0.003981071705534969	0.0	0.0
0.003981071705534969	0.0005	0.0
0.003981071705534969	0.001	0.0
0.003981071705534969	0.0015	0.0
0.003981071705534969	0.002	0.0
0.003981071705534969	0.0025	0.0
0.003981071705534969	0.003	0.0
0.003981071705534969	0.0035	0.0
0.003981071705534969	0.004	0.0
0.003981071705534969	0.0045	0.0
0.003981071705534969	0.005	0.0
0.003981071705534969	0.0055	0.0
0.003981071705534969	0.006	0.0
0.003981071705534969	0.0065	0.0
0.003981071705534969	0.007	0.0
0.003981071705534969	0.0075	0.0
0.003981071705534969	0.008	0.0
0.003981071705534969	0.0085	0.0
0.003981071705534969	0.009	0.0
0.003981071705534969	0.0095	0.0
0.003981071705534969	0.01	0.0
0.00630957344480193	0.0	0.0
0.00630957344480193	0.0005	0.0
0.00630957344480193	0.001	0.0
0.00630957344480193	0.0015	0.0
0.00630957344480193	0.002	0.0
0.00630957344480193	0.0025	0.0
0.00630957344480193	0.003	0.0
0.00630957344480193	0.0035	0.0
0.00630957344480193	0.004	0.0
0.00630957344480193	0.0045	0.0
0.00630957344480193	0.005	0.0
0.00630957344480193	0.0055	0.0
0.00630957344480193	0.006	0.0
0.00630957344480193	0.0065	0.0
0.00630957344480193	0.007	0.0
0.00630957344480193	0.0075	0.0
0.00630957344480193	0.008	0.0
0.00630957344480193	0.0085	0.0
0.00630957344480193	0.009	0.0
0.00630957344480193	0.0095	0.0
0.00630957344480193	0.01	0.0
0.01	0.0	0.0
0.01	0.0005	0.0
0.01	0.001	0.0
0.01	0.0015	0.0
0.01	0.002	0.0
0.01	0.0025	0.0
0.01	0.003	0.0
0.01	0.0035	0.0
0.01	0.004	0.0
0.01	0.0045	0.0
0.01	0.005	0.0
0.01	0.0055	0.0
0.01	0.006	0.0
0.01	0.0065	0.0
0.01	0.007	0.0
0.01	0.0075	0.0
0.01	0.008	0.0
0.01	0.0085	0.0
0.01	0.009	0.0
0.01	0.0095	0.0
0.01	0.01	0.0
0.01584893192461114	0.0	0.0
0.01584893192461114	0.0005	0.0
0.01584893192461114	0.001	0.0
0.01584893192461114	0.0015	0.0
0.01584893192461114	0.002	0.0
0.01584893192461114	0.0025	0.0
0.01584893192461114	0.003	0.0
0.01584893192461114	0.0035	0.0
0.01584893192461114	0.004	0.0
0.01584893192461114	0.0045	0.0
0.01584893192461114	0.005	0.0
0.01584893192461114	0.0055	0.0
0.01584893192461114	0.006	0.0
0.01584893192461114	0.0065	0.0
0.01584893192461114	0.007	0.0
0.01584893192461114	0.0075	0.0
0.01584893192461114	0.008	0.0
0.01584893192461114	0.0085	0.0
