p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.001	0.009	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	11	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	14	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	15	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	16	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	19	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	26	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	27	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	28	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	29	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.009	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	14	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	15	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	16	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	19	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	20	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	24	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	26	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	27	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	28	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0015	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	14	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	15	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	16	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	19	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	20	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	24	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	26	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	27	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	28	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0025	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	14	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	15	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	16	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	19	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	24	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	26	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	27	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	28	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0035	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	14	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	15	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	16	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	19	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	24	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	26	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	27	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	28	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0045	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	2	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	14	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	15	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	16	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	26	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	27	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	28	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0055	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	2	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	14	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	15	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	16	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	26	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	27	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	28	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0065	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	2	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	8	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	14	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	15	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	16	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	26	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	27	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	28	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0075	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	2	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	8	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	11	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	13	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	14	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	15	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	16	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	19	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	26	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	27	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	28	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0085	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	2	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	8	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	11	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	12	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	13	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	14	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	15	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	16	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	17	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	19	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	22	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	23	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	24	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	26	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	27	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	28	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	29	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.001	0.0095	30	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	3	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	4	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	8	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	10	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.01	0.0	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
