p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.0001	0.001	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	1	0	41	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	2	0	29	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	3	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	4	0	38	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	5	0	56	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	6	0	20	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	7	0	40	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	8	0	54	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	9	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	10	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	11	0	30	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	12	5000	0	284.6213379349475	147952.4923257523	12366.480681181245	2.143214538154473	89.73436204666442	1851.475869387904	[2, 1, 9, 8, 4, 12, 12, 15, 15, 10, 12, 13, 15, 22, 10, 23, 23, 21, 31, 23, 24, 20, 20, 32, 30, 20, 22, 30, 31, 30, 34, 26, 30, 29, 33, 26, 29, 37, 28, 27, 36, 31, 47, 21, 28, 36, 27, 35, 29, 26, 38, 32, 29, 36, 30, 40, 41, 22, 25, 27, 35, 42, 31, 22, 22, 33, 23, 34, 32, 28, 28, 24, 25, 30, 36, 24, 32, 31, 42, 33, 43, 32, 30, 22, 28, 27, 43, 31, 31, 39, 35, 28, 42, 41, 28, 33, 31, 30, 26, 33, 34, 33, 22, 30, 30, 50, 37, 40, 37, 31, 30, 28, 46, 35, 33, 31, 28, 33, 31, 30, 39, 38, 42, 34, 39, 29, 41, 41, 34, 44, 35, 33, 32, 28, 39, 39, 52, 34, 50, 57, 45, 51, 45, 41, 43, 49, 41, 78, 103, 318, 2]
0.0001	0.01	13	0	28	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	14	0	20	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	15	0	22	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	16	5000	0	397.3651238358963	359188.359848809	13519.768482332229	1.023527327267867	96.4434388924497	2063.658282143138	[1, 6, 7, 11, 11, 11, 14, 14, 24, 14, 18, 16, 18, 15, 17, 22, 17, 18, 30, 15, 32, 25, 25, 25, 27, 26, 28, 19, 24, 28, 35, 28, 28, 21, 24, 17, 18, 24, 21, 29, 27, 22, 25, 32, 25, 30, 34, 16, 16, 16, 33, 26, 22, 33, 24, 24, 19, 26, 19, 18, 38, 21, 20, 25, 25, 25, 30, 30, 29, 19, 19, 33, 35, 38, 16, 26, 23, 37, 24, 24, 23, 22, 28, 21, 27, 20, 22, 28, 32, 31, 29, 22, 26, 38, 30, 28, 27, 29, 28, 29, 34, 37, 31, 26, 31, 34, 30, 29, 41, 22, 27, 42, 31, 30, 23, 32, 27, 26, 23, 37, 22, 36, 32, 42, 27, 40, 25, 27, 36, 39, 34, 24, 38, 31, 45, 42, 36, 50, 43, 48, 47, 55, 68, 67, 71, 58, 75, 120, 130, 603, 9]
0.0001	0.01	17	0	38	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	18	0	30	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.01	19	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
